season_year,season_label,vessel_id,trip_id,dep_ts,arr_ts,arr_date,landed_kg,n_records,fishing_h,distance_km
2024,2024-2025,matsumae15,matsumae15_T40,2024-08-19 01:39:05,2024-08-19 07:43:05,2024-08-19,44.7,1,2.499722222222222,46.38932547712246
2024,2024-2025,matsumae16,matsumae16_T2,2024-07-17 01:16:19,2024-07-17 09:39:20,2024-07-17,1017.6,15,5.250277777777778,49.22512263630781
2024,2024-2025,matsumae16,matsumae16_T5,2024-08-07 01:44:19,2024-08-07 10:34:20,2024-08-07,562.5,11,6.232777777777778,47.791050638773726
2024,2024-2025,matsumae16,matsumae16_T8,2024-10-18 03:00:20,2024-10-18 09:14:19,2024-10-18,59.3,2,3.9672222222222224,37.05866677632522
2024,2024-2025,matsumae16,matsumae16_T9,2024-10-26 03:11:20,2024-10-26 08:42:19,2024-10-26,54.900000000000006,2,3.232222222222222,33.655627906379834
2024,2024-2025,matsumae16,matsumae16_T11,2024-11-01 03:07:20,2024-11-01 08:41:20,2024-11-01,56.5,2,2.8830555555555555,39.79983960974143
2024,2024-2025,matsumae17,matsumae17_T6,2024-07-11 01:03:39,2024-07-11 11:19:39,2024-07-11,515.4,11,8.54861111111111,40.60369794231715
2024,2024-2025,matsumae17,matsumae17_T10,2024-08-01 01:26:39,2024-08-01 07:36:39,2024-08-01,121.9,3,4.533055555555555,33.14745340468968
2024,2024-2025,matsumae17,matsumae17_T11,2024-08-06 02:57:38,2024-08-06 09:07:40,2024-08-06,314.7,7,5.117222222222222,23.552081373803347
2024,2024-2025,matsumae17,matsumae17_T18,2024-10-18 03:11:39,2024-10-18 09:42:40,2024-10-18,48.2,1,5.233888888888889,28.44404009003272
2024,2024-2025,matsumae17,matsumae17_T19,2024-10-26 02:15:40,2024-10-26 09:06:39,2024-10-26,56.099999999999994,2,4.867222222222222,37.84077222028904
2024,2024-2025,matsumae17,matsumae17_T24,2024-11-01 03:09:40,2024-11-01 08:59:40,2024-11-01,54.7,2,3.716666666666667,37.46575570301498
2024,2024-2025,matsumae17,matsumae17_T27,2024-11-10 02:49:40,2024-11-10 09:27:40,2024-11-10,252.3,6,4.116944444444445,44.836395710955415
2024,2024-2025,matsumae18,matsumae18_T1,2024-07-09 01:28:04,2024-07-09 08:50:04,2024-07-09,605.3,9,4.8825,36.82133694064569
2024,2024-2025,matsumae18,matsumae18_T6,2024-07-10 01:10:04,2024-07-10 08:26:05,2024-07-10,293.7,7,4.500555555555556,36.75795900500961
2024,2024-2025,matsumae18,matsumae18_T7,2024-07-11 01:11:04,2024-07-11 11:46:05,2024-07-11,961.2,20,8.016388888888889,47.66169584997423
2024,2024-2025,matsumae18,matsumae18_T13,2024-07-16 01:02:04,2024-07-16 10:46:04,2024-07-16,1097.8,16,6.917222222222223,48.33959386949007
