line_number_1based,vessel_id,ts,prev_ts,lat,long,lat_dd,long_dd
470,matsumae01,2023-07-08 01:14:39,,4131.374,13955.538,41.5229,139.925633
472,matsumae04,2023-07-08 01:14:49,,4130.215,13956.179,41.503583,139.936317
474,matsumae02,2023-07-08 01:15:20,,4131.903,13955.711,41.531717,139.928517
476,matsumae06,2023-07-08 01:15:25,,4129.687,13955.581,41.494783,139.92635
478,matsumae01,2023-07-08 01:15:40,,4131.502,13955.569,41.525033,139.92615
480,matsumae04,2023-07-08 01:15:49,,4130.195,13956.179,41.50325,139.936317
482,matsumae02,2023-07-08 01:16:19,,4131.89,13955.707,41.5315,139.92845
484,matsumae06,2023-07-08 01:16:25,,4129.671,13955.586,41.494517,139.926433
486,matsumae01,2023-07-08 01:16:39,,4131.641,13955.573,41.52735,139.926217
488,matsumae04,2023-07-08 01:16:50,,4130.219,13956.113,41.50365,139.935217
490,matsumae02,2023-07-08 01:17:20,,4131.875,13955.704,41.53125,139.9284
492,matsumae06,2023-07-08 01:17:24,,4129.654,13955.589,41.494233,139.926483
494,matsumae01,2023-07-08 01:17:40,,4131.781,13955.585,41.529683,139.926417
496,matsumae04,2023-07-08 01:17:49,,4130.299,13956.046,41.504983,139.9341
498,matsumae02,2023-07-08 01:18:20,,4131.861,13955.699,41.531017,139.928317
500,matsumae06,2023-07-08 01:18:25,,4129.637,13955.592,41.49395,139.926533
502,matsumae01,2023-07-08 01:18:40,,4131.922,13955.586,41.532033,139.926433
504,matsumae04,2023-07-08 01:18:49,,4130.381,13955.988,41.50635,139.933133
506,matsumae02,2023-07-08 01:19:20,,4131.845,13955.693,41.53075,139.928217
508,matsumae06,2023-07-08 01:19:25,,4129.622,13955.593,41.4937,139.92655
510,matsumae01,2023-07-08 01:19:39,,4132.059,13955.591,41.534317,139.926517
512,matsumae04,2023-07-08 01:19:49,,4130.465,13955.93,41.50775,139.932167
514,matsumae02,2023-07-08 01:20:19,,4131.83,13955.691,41.5305,139.928183
516,matsumae06,2023-07-08 01:20:25,,4129.606,13955.595,41.493433,139.926583
518,matsumae01,2023-07-08 01:20:39,,4132.189,13955.538,41.536483,139.925633
520,matsumae04,2023-07-08 01:20:50,,4130.548,13955.87,41.509133,139.931167
522,matsumae02,2023-07-08 01:21:20,,4131.815,13955.685,41.53025,139.928083
524,matsumae06,2023-07-08 01:21:25,,4129.589,13955.597,41.49315,139.926617
526,matsumae01,2023-07-08 01:21:40,,4132.329,13955.552,41.538817,139.925867
528,matsumae04,2023-07-08 01:21:49,,4130.631,13955.81,41.510517,139.930167
530,matsumae02,2023-07-08 01:22:19,,4131.8,13955.679,41.53,139.927983
532,matsumae06,2023-07-08 01:22:25,,4129.574,13955.6,41.4929,139.926667
534,matsumae01,2023-07-08 01:22:40,,4132.466,13955.576,41.5411,139.926267
536,matsumae04,2023-07-08 01:22:50,,4130.703,13955.756,41.511717,139.929267
538,matsumae02,2023-07-08 01:23:20,,4131.786,13955.673,41.529767,139.927883
540,matsumae06,2023-07-08 01:23:25,,4129.557,13955.604,41.492617,139.926733
542,matsumae01,2023-07-08 01:23:39,,4132.535,13955.582,41.54225,139.926367
544,matsumae04,2023-07-08 01:23:50,,4130.706,13955.741,41.511767,139.929017
546,matsumae02,2023-07-08 01:24:20,,4131.772,13955.667,41.529533,139.927783
548,matsumae06,2023-07-08 01:24:25,,4129.542,13955.606,41.492367,139.926767
550,matsumae01,2023-07-08 01:24:39,,4132.536,13955.581,41.542267,139.92635
552,matsumae04,2023-07-08 01:24:50,,4130.695,13955.735,41.511583,139.928917
554,matsumae02,2023-07-08 01:25:20,,4131.756,13955.66,41.529267,139.927667
556,matsumae06,2023-07-08 01:25:24,,4129.527,13955.606,41.492117,139.926767
558,matsumae01,2023-07-08 01:25:40,,4132.535,13955.58,41.54225,139.926333
560,matsumae04,2023-07-08 01:25:50,,4130.682,13955.731,41.511367,139.92885
562,matsumae02,2023-07-08 01:26:20,,4131.739,13955.65,41.528983,139.9275
564,matsumae06,2023-07-08 01:26:24,,4129.511,13955.606,41.49185,139.926767
566,matsumae01,2023-07-08 01:26:40,,4132.533,13955.579,41.542217,139.926317
568,matsumae04,2023-07-08 01:26:50,,4130.666,13955.727,41.5111,139.928783
570,matsumae02,2023-07-08 01:27:19,,4131.724,13955.643,41.528733,139.927383
572,matsumae06,2023-07-08 01:27:24,,4129.495,13955.607,41.491583,139.926783
574,matsumae01,2023-07-08 01:27:40,,4132.53,13955.578,41.542167,139.9263
576,matsumae04,2023-07-08 01:27:50,,4130.654,13955.723,41.5109,139.928717
578,matsumae02,2023-07-08 01:28:19,,4131.709,13955.635,41.528483,139.92725
580,matsumae06,2023-07-08 01:28:24,,4129.478,13955.606,41.4913,139.926767
582,matsumae01,2023-07-08 01:28:40,,4132.525,13955.577,41.542083,139.926283
584,matsumae04,2023-07-08 01:28:50,,4130.639,13955.72,41.51065,139.928667
586,matsumae02,2023-07-08 01:29:19,,4131.694,13955.627,41.528233,139.927117
588,matsumae06,2023-07-08 01:29:24,,4129.462,13955.606,41.491033,139.926767
590,matsumae01,2023-07-08 01:29:39,,4132.45,13955.554,41.540833,139.9259
592,matsumae04,2023-07-08 01:29:50,,4130.626,13955.716,41.510433,139.9286
594,matsumae02,2023-07-08 01:30:19,,4131.68,13955.621,41.528,139.927017
596,matsumae06,2023-07-08 01:30:24,,4129.447,13955.607,41.490783,139.926783
598,matsumae01,2023-07-08 01:30:39,,4132.431,13955.546,41.540517,139.925767
600,matsumae04,2023-07-08 01:30:50,,4130.61,13955.716,41.510167,139.9286
